,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,32,84190,Luis Muriel,31.0," AM(CL),FW",179.0,79.0,17(10),17.0,10,1543.0,8.0,2.2,24.9,75.6,1.1,0.7,0.1,7.3
1,33,129903,Mario Pasalic,27.0, M(CLR),188.0,82.0,24(13),24.0,13,2010.0,6.0,1.1,26.6,81.1,0.0,0.9,0.0,6.86
2,34,129354,Aleksey Miranchuk,26.0," M(CR),FW",182.0,74.0,7(12),7.0,12,769.0,5.0,1.2,19.1,82.9,0.4,0.4,0.2,6.59
3,35,141312,Davide Zappacosta,30.0," D(LR),M(LR)",185.0,70.0,29(5),29.0,5,2360.0,5.0,1.0,35.3,86.1,0.6,0.7,0.0,6.63
4,36,41073,Duván Zapata,31.0, FW,189.0,88.0,20(4),20.0,4,1732.0,4.0,1.6,21.5,76.7,0.3,0.4,0.1,7.06
5,37,43194,Josip Ilicic,34.0," AM(CLR),FW",190.0,79.0,8(12),8.0,12,837.0,4.0,1.7,22.4,76.3,0.8,1.6,0.1,6.84
6,38,295456,Ruslan Malinovskyi,29.0," M(CR),FW",181.0,79.0,19(11),19.0,11,1603.0,4.0,1.5,27.2,77.0,1.1,1.3,0.1,6.91
7,39,302691,Remo Freuler,30.0, DMC,180.0,80.0,28(1),28.0,1,2380.0,3.0,0.8,58.1,87.2,0.2,1.4,0.0,6.71
8,40,298515,Giuseppe Pezzella,24.0," D(L),M(L)",185.0,81.0,10(11),10.0,11,1068.0,2.0,0.4,24.2,79.5,0.2,0.8,0.0,6.46
9,41,362555,Merih Demiral,24.0, D(C),192.0,86.0,22(6),22.0,6,1916.0,2.0,0.1,28.5,85.2,0.0,1.6,0.0,6.75
10,42,100962,Berat Djimsiti,29.0, D(C),190.0,83.0,25(6),25.0,6,2257.0,1.0,0.4,44.4,83.0,0.2,1.7,0.0,6.6
11,43,363652,Joakim Maehle,25.0," D(LR),M(LR)",185.0,79.0,15(11),15.0,11,1468.0,1.0,0.6,29.4,81.4,0.1,0.8,0.0,6.43
12,44,395847,Matteo Lovato,22.0, D(C),188.0,83.0,3(3),3.0,3,303.0,1.0,0.3,31.8,86.4,0.0,1.8,0.0,6.46
13,45,362600,Matteo Pessina,25.0, AM(CR),187.0,77.0,18(9),18.0,9,1444.0,1.0,0.9,32.0,82.6,0.1,0.7,0.0,6.62
14,46,64075,Rafael Tolói,31.0, D(C),185.0,75.0,16(4),16.0,4,1440.0,1.0,0.4,45.5,82.4,0.2,2.5,0.1,6.73
15,47,343308,Teun Koopmeiners,24.0," D(C),M(C)",183.0,77.0,23(7),23.0,7,2129.0,1.0,1.6,45.6,82.7,1.0,2.9,0.0,6.82
16,48,431602,Alasanne Sidibe,20.0, Midfielder,0.0,0.0,0(1),0.0,1,5.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,6.16
17,49,78693,Francesco Rossi,31.0, Goalkeeper,193.0,83.0,0(1),0.0,1,36.0,0.0,0.0,16.0,75.0,0.0,3.0,0.0,6.38
18,50,430899,Giorgio Cittadini,20.0, Defender,0.0,0.0,0(2),0.0,2,3.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,6.12
19,51,405133,Giorgio Scalvini,18.0, D(C),0.0,0.0,9(9),9.0,9,761.0,0.0,0.3,26.9,82.1,0.0,1.3,0.0,6.42
20,52,135890,Hans Hateboer,28.0," D(R),M(R)",185.0,72.0,16(5),16.0,5,1391.0,0.0,0.6,32.9,85.4,0.5,0.6,0.0,6.44
21,53,280766,Jérémie Boga,25.0," AM(CLR),FW",172.0,68.0,7(8),7.0,8,765.0,0.0,1.3,25.7,82.6,0.5,0.6,0.0,6.57
22,54,125810,José Luis Palomino,32.0, D(C),188.0,87.0,30(4),30.0,4,2674.0,0.0,0.1,48.4,81.3,0.1,2.8,0.0,7.0
23,55,126278,Juan Musso,28.0, GK,191.0,93.0,33,33.0,0,2932.0,0.0,0.0,23.7,70.3,0.0,5.8,0.0,6.58
24,56,95504,Marco Sportiello,30.0, GK,192.0,87.0,6,6.0,0,451.0,0.0,0.0,17.0,69.6,0.0,2.0,0.0,6.58
25,57,85070,Marten de Roon,31.0," D(C),DMC",185.0,76.0,28(2),28.0,2,2549.0,0.0,0.2,55.3,85.4,0.0,3.5,0.0,6.78
26,58,434316,Moustapha Cissé,19.0, Forward,0.0,0.0,0(3),0.0,3,35.0,0.0,0.0,3.0,55.6,0.0,0.0,0.0,6.38
27,59,369414,Roberto Piccoli,21.0, FW,187.0,78.0,1(11),1.0,11,185.0,0.0,0.3,3.6,69.8,0.0,0.0,0.0,6.12
28,60,141726,Robin Gosens,28.0," D(L),M(CL)",183.0,76.0,5(1),5.0,1,462.0,0.0,1.0,36.2,81.1,0.3,1.2,0.0,6.92
29,61,328269,Sam Lammers,25.0, FW,189.0,77.0,0(2),0.0,2,37.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,6.1
30,62,431604,Tommaso De Nipoti,19.0, Forward,0.0,0.0,0(1),0.0,1,5.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,6.08
31,63,400090,Valentin Mihaila,22.0, AM(L),173.0,61.0,0(5),0.0,5,73.0,0.0,0.0,6.0,56.7,0.0,0.0,0.0,6.03
