,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,83390,Lorenzo Insigne,31.0," AM(CL),FW",163.0,59.0,28(4),28.0,4,2311.0,9.0,2.0,43.3,83.7,0.9,2.8,0.2,7.09
1,28,106931,Mário Rui,31.0," D(L),M(L)",170.0,67.0,34,34.0,0,3002.0,6.0,1.2,62.4,86.1,0.4,3.9,0.0,6.98
2,29,339579,Eljif Elmas,23.0, M(CLR),182.0,68.0,12(25),12.0,25,1601.0,5.0,0.6,21.5,87.8,0.0,0.5,0.1,6.54
3,30,122469,Giovanni Di Lorenzo,29.0," D(CLR),M(R)",183.0,83.0,33,33.0,0,2873.0,5.0,1.0,59.2,88.2,0.2,2.1,0.1,7.04
4,31,318511,Hirving Lozano,27.0," AM(LR),FW",175.0,70.0,20(10),20.0,10,1622.0,5.0,0.9,17.5,82.1,0.5,0.2,0.0,6.85
5,32,118169,Piotr Zielinski,28.0, M(CL),180.0,75.0,26(9),26.0,9,2099.0,5.0,1.4,31.6,84.8,0.4,0.8,0.0,6.71
6,33,294193,Fabián Ruiz,26.0, M(CL),189.0,70.0,29(3),29.0,3,2398.0,4.0,1.0,67.9,90.5,0.1,4.2,0.1,7.1
7,34,122683,Matteo Politano,29.0," AM(CLR),FW",171.0,67.0,20(13),20.0,13,1659.0,4.0,1.0,19.5,77.3,0.8,0.7,0.0,6.56
8,35,90880,Kalidou Koulibaly,31.0, D(C),195.0,89.0,27,27.0,0,2406.0,3.0,0.4,60.8,86.9,0.0,3.4,0.0,7.08
9,36,349561,André-Frank Zambo Anguissa,26.0, M(C),184.0,78.0,21(4),21.0,4,1925.0,2.0,0.9,48.1,89.9,0.2,1.2,0.0,7.05
10,37,298510,Victor Osimhen,23.0, FW,185.0,78.0,23(4),23.0,4,1993.0,2.0,0.6,12.0,70.5,0.0,0.3,0.0,7.22
11,38,122296,Andrea Petagna,27.0, FW,190.0,85.0,4(20),4.0,20,574.0,1.0,0.4,6.6,71.1,0.0,0.1,0.0,6.34
12,39,23100,Dries Mertens,35.0," AM(CLR),FW",169.0,61.0,16(14),16.0,14,1389.0,1.0,1.1,17.3,76.2,0.1,0.7,0.1,6.86
13,40,86512,Kevin Malcuit,31.0," D(R),M(R)",178.0,77.0,2(6),2.0,6,286.0,1.0,0.3,15.0,73.3,0.1,0.9,0.1,6.27
14,41,297577,Adam Ounas,25.0," AM(CLR),FW",172.0,65.0,1(14),1.0,14,312.0,0.0,0.8,12.5,82.9,0.1,1.2,0.1,6.4
15,42,423515,Alessandro Zanoli,22.0, D(R),0.0,0.0,5(7),5.0,7,453.0,0.0,0.2,20.5,82.5,0.1,0.4,0.1,6.34
16,43,241022,Alex Meret,25.0, GK,190.0,82.0,7,7.0,0,620.0,0.0,0.0,21.6,86.8,0.0,4.6,0.0,6.87
17,44,295358,Amir Rrahmani,28.0, D(CL),192.0,87.0,33,33.0,0,2928.0,0.0,0.2,60.8,91.1,0.0,3.2,0.0,6.83
18,45,299271,Axel Tuanzebe,24.0, D(CR),186.0,75.0,0(1),0.0,1,10.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,6.12
19,46,36745,David Ospina,34.0, GK,183.0,80.0,31,31.0,0,2790.0,0.0,0.0,27.5,81.2,0.0,4.8,0.0,6.82
20,47,362440,Davide Marfella,23.0, Goalkeeper,0.0,0.0,0(1),0.0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41
21,48,133886,Diego Demme,30.0, DMC,172.0,71.0,7(12),7.0,12,686.0,0.0,0.3,30.9,91.2,0.1,1.1,0.1,6.37
22,49,82062,Faouzi Ghoulam,31.0, D(L),186.0,80.0,3(11),3.0,11,325.0,0.0,0.5,16.9,88.6,0.5,0.5,0.0,6.28
23,50,369883,Gianluca Gaetano,22.0, Midfielder,181.0,71.0,0(2),0.0,2,19.0,0.0,0.0,6.0,75.0,0.0,0.0,0.0,6.28
24,51,84603,Juan Jesus,31.0, D(CL),185.0,83.0,14(7),14.0,7,1273.0,0.0,0.2,39.8,88.5,0.0,1.2,0.0,6.51
25,52,70149,Kostas Manolas,31.0, D(C),189.0,83.0,3(1),3.0,1,312.0,0.0,0.0,58.3,95.7,0.0,3.8,0.0,6.43
26,53,111892,Stanislav Lobotka,27.0, DMC,170.0,68.0,19(4),19.0,4,1687.0,0.0,0.7,61.5,93.7,0.0,1.1,0.1,6.73
