,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,22,148684,Nicolò Barella,25.0, AM(C),175.0,68.0,8,8.0,0,680.0,3.0,2.0,46.6,84.7,0.8,1.6,0.3,7.11
1,23,23220,Matteo Darmian,32.0," D(CLR),M(LR)",182.0,70.0,5(1),5.0,1,403.0,2.0,1.7,25.2,82.8,0.5,1.5,0.0,6.7
2,24,322153,Denzel Dumfries,26.0," D(R),M(R)",188.0,80.0,7(1),7.0,1,590.0,1.0,1.3,19.4,78.7,0.5,0.5,0.0,6.75
3,25,24845,Edin Dzeko,36.0, FW,193.0,80.0,4(4),4.0,4,408.0,1.0,1.0,13.0,79.8,0.0,0.6,0.1,6.59
4,26,110373,Hakan Çalhanoglu,28.0," M(CLR),FW",178.0,76.0,6(1),6.0,1,489.0,1.0,2.1,37.4,87.8,1.7,1.7,0.1,6.78
5,27,125378,Joaquín Correa,28.0," AM(CL),FW",189.0,75.0,2(6),2.0,6,209.0,1.0,0.4,6.9,69.1,0.0,0.4,0.1,6.35
6,28,299344,Lautaro Martínez,25.0, FW,174.0,72.0,7(1),7.0,1,650.0,1.0,1.6,18.5,75.7,0.0,0.6,0.0,6.95
7,29,78498,Romelu Lukaku,29.0," AM(R),FW",190.0,93.0,3,3.0,0,226.0,1.0,0.7,14.0,73.8,0.0,0.0,0.0,7.03
8,30,329665,Alessandro Bastoni,23.0, D(C),190.0,75.0,5(2),5.0,2,411.0,0.0,0.6,45.1,87.3,0.3,3.1,0.0,6.45
9,31,64271,Danilo D'Ambrosio,34.0," D(CLR),M(LR)",180.0,75.0,0(3),0.0,3,47.0,0.0,0.0,9.3,82.1,0.0,0.7,0.0,6.11
10,32,255929,Federico Dimarco,24.0," D(CL),M(L)",175.0,75.0,6(2),6.0,2,548.0,0.0,1.8,36.6,78.5,2.5,3.1,0.0,6.85
11,33,54968,Francesco Acerbi,34.0, D(C),192.0,88.0,2,2.0,0,169.0,0.0,0.5,82.0,89.0,0.0,6.0,0.0,6.44
12,34,28421,Henrikh Mkhitaryan,33.0," M(CLR),FW",177.0,75.0,1(4),1.0,4,116.0,0.0,0.4,14.4,87.5,0.2,0.6,0.0,6.28
13,35,423450,Kristjan Asllani,20.0, M(C),175.0,0.0,1(2),1.0,2,100.0,0.0,0.0,24.0,94.4,0.0,2.0,0.0,6.1
14,36,87449,Marcelo Brozovic,29.0, M(CR),181.0,68.0,7,7.0,0,574.0,0.0,0.6,57.3,87.0,0.0,2.9,0.0,6.9
15,37,302918,Milan Skriniar,27.0, D(C),187.0,80.0,8,8.0,0,717.0,0.0,0.4,69.8,92.3,0.0,3.0,0.0,6.27
16,38,349184,Raoul Bellanova,22.0, M(R),188.0,82.0,0(3),0.0,3,34.0,0.0,0.0,8.3,92.0,0.0,0.0,0.0,6.04
17,39,136279,Roberto Gagliardini,28.0, DMC,190.0,77.0,1(2),1.0,2,154.0,0.0,0.0,18.0,75.9,0.0,1.0,0.3,6.45
18,40,141726,Robin Gosens,28.0," D(L),M(CL)",183.0,76.0,1(6),1.0,6,131.0,0.0,0.0,7.6,77.4,0.1,0.1,0.0,6.08
19,41,9972,Samir Handanovic,38.0, GK,193.0,92.0,8,8.0,0,720.0,0.0,0.0,33.1,88.7,0.0,5.1,0.0,6.65
20,42,82399,Stefan de Vrij,30.0, D(C),189.0,78.0,6(1),6.0,1,545.0,0.0,0.0,53.0,88.4,0.0,0.9,0.0,6.65
21,43,446865,Valentín Carboni,17.0, Midfielder,0.0,0.0,0(1),0.0,1,2.0,0.0,0.0,7.0,71.4,0.0,0.0,0.0,6.01
