,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,5486,Alexander Meier,39," M(C),FW",196,96,31,31,0.0,2726,16,3,4,0,2.8,74.5,5.4,5,7.37
1,14182,Pirmin Schwegler,35, M(C),178,74,25(2),25,2.0,2214,2,2,7,0,1.1,79.3,2.0,4,7.32
2,67925,Bastian Oczipka,33," D(CL),M(L)",185,85,33,33,0.0,2890,0,8,1,0,0.4,76.3,0.7,2,7.28
3,65581,Sebastian Rode,31," D(R),M(C)",180,71,33,33,0.0,2915,0,0,8,0,0.9,84.4,1.4,1,7.17
4,43395,Anderson,34, D(C),189,86,28,28,0.0,2492,1,2,3,0,0.3,85.5,2.7,0,7.11
5,33134,Carlos Zambrano,33, D(C),185,77,30,30,0.0,2646,0,0,11,0,0.1,82.7,1.9,0,7.03
6,38820,Takashi Inui,34, AM(CLR),169,63,33,33,0.0,2649,6,5,4,1,2.6,84.5,0.1,2,7.01
7,71852,Sebastian Jung,32, D(R),179,72,32,32,0.0,2839,1,1,5,0,0.8,77.9,1.3,1,6.89
8,5475,Oka Nikolov,48, GK,187,86,8,8,0.0,696,0,0,0,0,0.0,58.5,0.3,1,6.88
9,66424,Kevin Trapp,32, GK,189,88,26,26,0.0,2340,0,0,0,0,0.0,59.1,0.1,2,6.83
10,14166,Stefan Aigner,35," AM(CLR),FW",183,73,34,34,0.0,2836,9,7,3,0,1.1,72.1,1.1,0,6.82
11,13753,Marco Russ,37," D(C),DMC",190,88,7(3),7,3.0,625,1,0,5,0,0.8,78.3,2.9,1,6.78
12,20151,Constant Djakpa,35, D(L),177,74,1(4),1,4.0,187,0,0,0,0,0.2,73.7,0.4,0,6.7
13,6810,Heiko Butscher,42," D(C),DMC",189,88,2(1),2,1.0,199,0,0,0,0,0.0,83.9,1.0,0,6.63
14,116466,Marc Stendera,26, M(C),173,72,2(3),2,3.0,220,0,1,0,0,0.4,66.7,0.0,0,6.61
15,116465,Marc Oliver Kempf,27, D(C),186,87,2,2,0.0,180,0,0,0,0,1.0,83.6,3.0,0,6.59
16,7101,Olivier Occean,40, FW,185,86,10(8),10,8.0,1002,1,1,0,0,1.4,69.2,2.2,0,6.54
17,13751,Srdjan Lakic,38, FW,186,84,9(5),9,5.0,759,4,0,2,0,1.3,72.9,1.7,0,6.54
18,14164,Martin Lanig,38, M(C),190,79,4(15),4,15.0,380,3,1,1,0,0.5,75.0,0.5,0,6.53
19,18104,Vadim Demidov,35, D(C),185,80,4(1),4,1.0,368,0,0,1,0,0.0,79.7,1.6,0,6.52
20,26474,Stefano Celozzi,33," D(R),DMC,M(R)",171,74,6(21),6,21.0,1033,0,3,3,0,0.4,79.8,0.2,1,6.48
21,20489,Karim Matmour,37," M(CR),FW",184,78,12(12),12,12.0,1220,1,1,2,2,1.3,75.5,0.8,0,6.4
22,20107,Erwin Hoffer,35, FW,177,72,2(4),2,4.0,193,1,0,0,0,1.2,85.2,0.8,0,6.36
23,90966,Sonny Kittel,29," AM(CLR),FW",179,71,0(6),0,6.0,43,0,0,0,0,0.2,76.9,0.0,0,6.06
24,6268,Benjamin Köhler,42," D(C),M(CR),FW",172,66,0(6),0,6.0,47,0,0,0,0,0.0,64.3,0.2,0,6.01
25,103658,Aykut Özer,29, GK,188,80,0(1),0,1.0,27,0,0,0,0,0.0,75.0,0.0,0,5.81
26,24276,Dorge Kouemaha,39, AM(L),188,86,0(2),0,2.0,42,0,0,0,0,0.5,81.3,0.0,0,5.59
