,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,243565,Patrik Schick,26," AM(R),FW",191,85,26(1),26,1,2094,24,3,0,0,3.3,68.9,2.0,4,7.45
1,394786,Florian Wirtz,19, AM(C),176,70,22(2),22,2,1864,7,10,2,0,1.5,78.7,0.3,3,7.41
2,353397,Moussa Diaby,23," M(CLR),FW",170,68,32,32,0,2773,13,12,8,1,1.7,77.2,0.2,3,7.2
3,329103,Lennart Grill,23, GK,192,85,1,1,0,90,0,0,0,0,0.0,67.5,0.0,0,7.01
4,115166,Kerem Demirbay,29, M(C),183,73,23(6),23,6,2053,1,4,10,0,1.3,81.6,0.4,2,6.98
5,134946,Jonathan Tah,26, D(C),195,98,33,33,0,2882,2,3,4,0,0.5,88.2,2.9,2,6.94
6,392644,Jeremie Frimpong,21," D(R),M(R)",171,63,25,25,0,2062,1,6,6,0,0.4,81.5,0.8,1,6.88
7,369446,Edmond Tapsoba,23, D(C),194,85,19(3),19,3,1813,1,0,1,0,0.3,88.4,1.9,0,6.84
8,64846,Lukás Hrádecky,32, GK,192,83,32,32,0,2880,0,0,1,0,0.0,73.8,0.3,1,6.8
9,122140,Robert Andrich,27, M(C),187,83,21(5),21,5,1821,4,2,5,1,1.2,81.1,1.2,0,6.78
10,91060,Karim Bellarabi,32," M(CLR),FW",184,81,9(7),9,7,687,3,2,2,0,1.8,79.6,0.0,1,6.78
11,339845,Paulinho,22, AM(CLR),177,77,14(10),14,10,1219,4,2,1,0,1.1,82.0,0.3,1,6.71
12,404832,Piero Hincapié,20, D(CL),183,66,20(7),20,7,1752,1,2,5,0,0.3,81.5,2.1,0,6.69
13,25657,Charles Aránguiz,33, M(C),171,68,16(10),16,10,1576,1,3,2,0,0.4,84.7,0.3,0,6.67
14,352830,Mitchel Bakker,22," D(L),M(L)",185,85,19(6),19,6,1825,1,4,6,0,0.4,80.6,0.5,0,6.65
15,299684,Exequiel Palacios,23, M(C),177,67,12(11),12,11,1094,2,2,2,0,0.4,86.4,0.3,1,6.61
16,389409,Amine Adli,22," AM(CL),FW",174,60,13(12),13,12,1256,3,2,3,0,1.5,76.0,0.5,0,6.6
17,384516,Odilon Kossounou,21, D(CR),191,79,20(7),20,7,1791,0,1,3,0,0.1,82.4,1.1,0,6.55
18,129197,Sardar Azmoun,27," AM(C),FW",186,78,4(5),4,5,358,1,1,0,0,1.2,76.0,0.8,1,6.53
19,125654,Lucas Alario,29, FW,184,78,5(22),5,22,642,6,0,2,0,0.9,67.3,0.7,0,6.4
20,141781,Daley Sinkgraven,27," D(L),M(CL)",179,67,3(9),3,9,346,0,0,0,0,0.1,84.0,0.3,0,6.29
21,312739,Timothy Fosu-Mensah,24, D(CR),185,80,0(6),0,6,140,0,0,0,0,0.0,80.9,0.3,0,6.27
22,261021,Nadiem Amiri,25, M(CLR),180,77,3(10),3,10,362,1,0,0,0,0.6,85.2,0.1,0,6.25
23,286602,Andrey Lunev,30, GK,190,80,1,1,0,90,0,0,0,0,0.0,86.4,0.0,0,6.24
24,427262,Iker Bravo,17, Forward,182,75,0(1),0,1,11,0,0,0,0,0.0,0.0,0.0,0,6.2
25,27124,Julian Baumgartlinger,34, DMC,181,85,1(5),1,5,84,0,0,1,0,0.0,89.9,0.2,0,6.19
26,426662,Zidan Sertdemir,17, Midfielder,182,71,0(3),0,3,15,0,0,0,0,0.0,100.0,0.0,0,6.13
27,139623,Joel Pohjanpalo,28, FW,186,83,0(2),0,2,10,0,0,0,0,0.0,33.3,0.5,0,6.07
28,302402,Panagiotis Retsos,24, D(CLR),186,79,0(4),0,4,28,0,0,0,0,0.3,83.3,0.3,0,6.0
