,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,125883,Kingsley Coman,26," M(LR),FW",180,76,3,3,0.0,253,1,2,0,0,2.3,90.2,0.3,1,7.92
1,283323,Joshua Kimmich,27," D(CR),DMC,M(R)",177,75,7,7,0.0,602,2,2,2,0,1.7,86.9,0.7,1,7.86
2,259648,Benjamin Pavard,26," D(CLR),M(R)",186,81,5,5,0.0,419,1,0,1,0,2.4,85.5,2.4,1,7.77
3,395252,Jamal Musiala,19, M(CL),180,68,5(1),5,1.0,417,4,1,0,0,3.3,81.4,0.3,1,7.63
4,37099,Thomas Müller,33," M(CLR),FW",185,76,6(1),6,1.0,499,1,2,0,0,1.7,79.8,1.6,0,7.19
5,144711,Leroy Sané,26," M(CLR),FW",183,80,4(3),4,3.0,454,2,1,2,0,3.9,85.2,0.3,0,7.15
6,109915,Sadio Mané,30," AM(CLR),FW",175,69,6(1),6,1.0,487,3,0,1,0,3.0,75.6,0.7,0,7.08
7,92051,Marcel Sabitzer,28," M(CLR),FW",178,76,5(1),5,1.0,387,0,0,1,0,1.3,90.7,0.7,0,7.02
8,320040,Alphonso Davies,21," D(L),M(LR)",183,75,6,6,0.0,535,0,1,0,0,0.8,87.7,0.2,1,7.02
9,119501,Serge Gnabry,27," AM(CLR),FW",176,77,3(4),3,4.0,282,2,1,0,0,2.1,81.6,0.0,0,6.84
10,320374,Matthijs de Ligt,23, D(C),188,89,4(2),4,2.0,373,1,0,1,0,0.5,92.8,2.7,0,6.75
11,424368,Gabriel Vidovic,18, Midfielder,180,0,0(1),0,1.0,18,0,1,0,0,0.0,76.9,0.0,0,6.74
12,139186,Lucas Hernández,26, D(CL),184,79,4,4,0.0,324,0,0,1,0,0.0,92.9,1.0,0,6.73
13,13754,Manuel Neuer,36, GK,193,93,7,7,0.0,630,0,0,0,0,0.3,83.3,0.4,0,6.71
14,349932,Noussair Mazraoui,24, D(R),183,63,2(2),2,2.0,154,0,1,0,0,0.3,89.7,0.5,0,6.7
15,327721,Dayot Upamecano,23, D(C),186,90,7,7,0.0,630,0,0,0,0,0.0,90.6,1.3,0,6.68
16,115519,Leon Goretzka,27, M(CR),189,82,2(1),2,1.0,164,0,0,0,0,2.7,82.2,1.0,0,6.55
17,422885,Mathys Tel,17, Forward,183,0,1(2),1,2.0,96,1,0,0,0,1.3,83.7,0.0,0,6.52
18,363884,Ryan Gravenberch,20, DMC,190,83,0(5),0,5.0,105,0,0,1,0,0.6,90.0,0.0,0,6.16
19,413272,Josip Stanisic,22, D(R),186,77,0(3),0,3.0,69,0,0,0,0,0.0,93.4,0.0,0,6.14
20,35506,Sven Ulreich,34, GK,192,87,1,1,0.0,1,0,0,1,0,0.0,0.0,0.0,0,6.0
21,29809,Eric Choupo-Moting,33," M(CLR),FW",191,90,0(2),0,2.0,33,0,0,0,0,0.5,72.7,0.0,0,5.98
