,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,279379,Gabriel Jesus,25," AM(LR),FW",175,73,7,7,0.0,614,4,3,4,0,3.4,80.0,2.1,1,7.75
1,380706,Gabriel Martinelli,21," AM(L),FW",178,75,7,7,0.0,603,3,0,0,0,3.0,85.4,0.3,1,7.48
2,247454,Martin Ødegaard,23, AM(CR),178,68,6,6,0.0,498,3,0,1,0,2.2,80.1,0.8,2,7.38
3,367185,Bukayo Saka,21," D(L),M(CLR)",178,65,7,7,0.0,620,1,4,1,0,2.4,86.0,0.6,0,7.33
4,238940,Thomas Partey,29," D(R),M(CR)",185,77,4,4,0.0,348,0,0,0,0,1.0,82.5,1.5,0,7.23
5,89401,Granit Xhaka,29," D(L),M(C)",186,80,7,7,0.0,628,1,3,2,0,1.0,85.4,1.1,0,7.12
6,394924,Fábio Vieira,22," AM(C),FW",170,58,1(1),1,1.0,106,1,0,0,0,1.5,80.8,0.0,0,7.07
7,273257,Oleksandr Zinchenko,25," D(L),M(CLR)",175,64,4,4,0.0,324,0,1,0,0,0.8,88.4,1.3,1,6.95
8,361822,William Saliba,21, D(C),192,83,7,7,0.0,630,2,1,2,0,0.4,93.2,1.0,1,6.94
9,334087,Gabriel Magalhães,24, D(C),190,78,7,7,0.0,630,1,0,0,0,1.3,90.9,1.9,0,6.87
10,322036,Ben White,24," D(CR),DMC",186,78,7,7,0.0,560,0,0,2,0,0.0,86.8,1.1,0,6.75
11,316858,Aaron Ramsdale,24, GK,188,77,7,7,0.0,630,0,0,0,0,0.0,60.6,0.4,0,6.55
12,297403,Kieran Tierney,25," D(CL),M(L)",178,70,3(3),3,3.0,263,0,0,0,0,0.7,76.4,0.0,0,6.36
13,125209,Mohamed Elneny,30, DMC,179,72,1,1,0.0,90,0,0,0,0,0.0,98.1,0.0,0,6.33
14,349102,Albert Sambi Lokonga,22, DMC,173,67,2(3),2,3.0,179,0,0,0,0,0.0,93.0,0.6,0,6.3
15,345845,Eddie Nketiah,23, FW,175,72,0(7),0,7.0,88,0,0,0,0,0.9,85.7,0.1,0,6.28
16,363686,Emile Smith Rowe,22, AM(CL),182,79,0(4),0,4.0,48,0,0,0,0,0.5,90.0,0.0,0,6.25
17,377283,Takehiro Tomiyasu,23, D(CR),188,70,0(6),0,6.0,72,0,0,1,0,0.0,78.6,0.0,0,6.19
18,288795,Rob Holding,27, D(CR),189,81,0(2),0,2.0,3,0,0,0,0,0.0,100.0,0.5,0,6.12
19,456771,Ethan Nwaneri,15, Midfielder,0,0,0(1),0,1.0,1,0,0,0,0,0.0,0.0,0.0,0,6.0
20,419077,Marquinhos,19, Forward,175,85,0(1),0,1.0,1,0,0,0,0,0.0,66.7,0.0,0,6.0
