,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,303139,Rodri,26, DMC,191,82,36(1),36,1,3228,1,3,8,0,0.9,90.1,2.7,3,7.2
1,238773,Samu Castillejo,27, AM(CLR),182,67,25(5),25,5,2085,6,5,4,0,1.9,82.5,0.5,3,7.16
2,79909,Mario Gaspar,31," D(CR),M(R)",182,74,31(1),31,1,2806,2,3,6,0,0.9,78.6,1.8,3,7.14
3,86513,Cédric Bakambu,31," AM(LR),FW",182,73,15,15,0,1269,9,0,5,0,2.1,73.8,1.1,2,7.01
4,71687,Carlos Bacca,36, FW,181,77,30(5),30,5,2512,15,6,9,0,2.1,73.8,0.7,3,6.95
5,102234,Manu Trigueros,30," M(CLR),FW",178,75,32(2),32,2,2709,3,4,9,1,0.8,87.6,0.8,1,6.91
6,79558,Víctor Ruiz,33, D(C),184,95,27,27,0,2417,2,1,9,1,0.2,85.6,2.2,0,6.9
7,297203,Pablo Fornals,26, M(CLR),178,67,30(5),30,5,2623,3,12,4,0,1.5,78.1,0.8,4,6.9
8,69965,Jaume Costa,34," D(LR),M(L)",171,62,29(1),29,1,2541,0,0,13,1,0.4,82.5,1.1,0,6.86
9,32258,Sergio Asenjo,33, GK,189,87,23,23,0,2070,0,0,3,0,0.0,55.2,0.4,3,6.79
10,99907,Álvaro González,32, D(C),182,75,32(1),32,1,2899,0,2,13,1,0.5,83.7,1.9,0,6.76
11,334221,Dani Raba,26, AM(CR),184,76,14(7),14,7,1115,2,4,3,1,0.9,78.8,0.4,1,6.68
12,141021,Mariano Barbosa,38, GK,188,79,12(1),12,1,1125,0,0,0,0,0.0,60.4,0.1,0,6.67
13,2247,Daniele Bonera,41, D(CR),183,84,14(1),14,1,1191,0,1,4,1,0.1,86.9,1.2,0,6.63
14,32565,Andrés Fernández,35, GK,187,82,3,3,0,226,0,0,0,0,0.0,58.3,0.7,0,6.62
15,134695,Enes Ünal,25, FW,187,78,11(12),11,12,1122,5,2,1,0,1.6,73.2,1.9,1,6.58
16,28133,Antonio Rukavina,38," D(LR),M(R)",177,74,14(3),14,3,1270,0,0,5,0,0.1,83.4,0.5,0,6.56
17,110297,Denis Cheryshev,31," AM(L),FW",179,74,9(15),9,15,922,2,1,2,0,1.2,71.7,0.5,0,6.55
18,83651,Nicola Sansone,31," AM(LR),FW",175,68,5(13),5,13,627,5,1,1,0,0.8,78.7,0.1,0,6.53
19,243271,Adrián Marín,25," D(L),M(L)",181,73,2(1),2,1,233,0,0,1,0,0.0,85.4,0.7,0,6.48
20,78906,Roberto Soriano,31, AM(CLR),182,76,11(11),11,11,1136,0,0,3,0,1.0,80.2,0.6,0,6.41
21,34123,Alfred N'Diaye,32," D(C),M(C)",193,90,1(1),1,1,100,0,0,0,0,0.0,88.9,1.5,0,6.35
22,135344,Roger Martínez,28, FW,180,76,2(6),2,6,227,1,0,1,0,1.4,75.0,0.6,0,6.29
23,27745,Javi Fuego,38, M(C),181,76,6(5),6,5,535,0,0,2,0,0.1,78.9,0.8,0,6.22
24,344259,Pau Torres,25, D(C),191,80,0(2),0,2,51,0,0,0,0,0.0,64.5,1.5,0,6.14
25,249908,Leonardo Suárez,26, FW,167,60,0(1),0,1,28,0,0,0,0,1.0,81.8,0.0,0,6.12
26,111560,Salem Al Dawsari,31, Midfielder,171,72,0(1),0,1,33,0,0,1,0,0.0,88.2,0.0,0,6.1
27,331699,Darío Poveda,25, Forward,185,75,0(1),0,1,1,0,0,0,0,0.0,50.0,0.0,0,6.04
28,346201,Ramiro Guerra,25, Midfielder,183,75,0(4),0,4,67,0,0,1,0,0.0,80.6,0.0,0,6.03
29,306786,Mario González,26, FW,183,76,0(2),0,2,16,0,0,0,0,0.5,57.1,1.0,0,6.03
30,136305,Rúben Semedo,28, D(C),189,84,3(1),3,1,231,0,0,0,0,0.3,87.5,1.8,0,5.94
31,344260,Chuca,25, Midfielder,182,75,1(3),1,3,86,0,0,1,0,0.8,77.8,0.0,0,5.89
