,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,11119,Lionel Messi,35," AM(CR),FW",170,72,32(1),32,1,2881,25,21,4,0,4.8,82.6,0.3,22,8.71
1,22221,Luis Suárez,35," AM(CLR),FW",182,86,22(6),22,6,2002,16,8,4,0,2.8,75.5,0.4,3,7.33
2,44721,Sergio Busquets,34, DMC,189,76,29(4),29,4,2491,2,2,10,0,0.3,89.9,1.2,1,7.07
3,12712,Gerard Piqué,35, D(C),194,85,35,35,0,3096,1,0,15,0,0.4,91.8,3.7,1,7.03
4,80241,Antoine Griezmann,31," AM(CLR),FW",176,73,31(4),31,4,2562,9,4,2,0,1.6,81.8,0.9,1,6.97
5,106590,Rafinha,30, M(CLR),174,71,2(1),2,1,187,0,0,0,0,2.0,90.0,0.0,0,6.93
6,236511,Clément Lenglet,27, D(C),186,81,28,28,0,2428,2,1,7,2,0.4,92.3,2.3,0,6.9
7,281010,Moussa Wagué,23, D(R),177,70,1,1,0,90,0,0,0,0,0.0,88.1,1.0,0,6.88
8,44288,Jordi Alba,33," D(L),M(L)",170,68,25(2),25,2,2190,2,5,7,0,0.3,88.6,0.2,0,6.87
9,90782,Sergi Roberto,30," D(R),M(CR)",178,68,27(3),27,3,2342,1,2,7,0,0.2,91.8,1.0,0,6.85
10,279423,Frenkie de Jong,25," D(C),DMC",180,74,24(5),24,5,2121,2,2,1,1,0.1,91.8,0.5,2,6.85
11,284114,Arthur,26, DMC,171,73,14(7),14,7,1185,3,3,1,0,0.4,91.5,0.1,0,6.84
12,25008,Arturo Vidal,35, M(CR),180,75,16(17),16,17,1663,8,2,4,0,0.8,88.4,1.0,1,6.83
13,372827,Riqui Puig,23, M(C),169,56,5(6),5,6,508,0,2,1,0,0.7,90.5,0.1,0,6.81
14,296363,Nélson Semedo,28," D(LR),M(R)",177,67,24(8),24,8,2097,1,2,2,0,0.3,89.5,0.4,0,6.79
15,382234,Ansu Fati,19, AM(L),178,66,11(13),11,13,1027,7,1,2,1,1.4,85.7,0.3,0,6.73
16,89931,Samuel Umtiti,28, D(CL),182,75,10(3),10,3,946,0,0,6,0,0.0,92.2,1.6,0,6.71
17,299513,Ousmane Dembélé,25," AM(CLR),FW",178,67,3(2),3,2,358,1,0,1,1,1.0,78.0,0.2,0,6.7
18,80774,Marc-André ter Stegen,30, GK,187,85,36,36,0,3240,0,2,1,0,0.0,86.4,0.3,0,6.66
19,351252,Junior Firpo,26," D(L),M(L)",184,78,11(6),11,6,1011,1,1,5,0,0.2,88.8,0.8,0,6.65
20,374869,Carles Pérez,24, AM(CR),173,75,5(5),5,5,474,1,2,0,0,1.4,83.5,0.1,0,6.58
21,22732,Ivan Rakitic,34, M(C),184,78,16(15),16,15,1589,1,3,5,0,0.8,90.0,0.6,0,6.57
22,361710,Jean-Clair Todibo,22, D(C),192,88,1(1),1,1,77,0,0,0,0,0.0,96.1,1.0,0,6.53
23,76202,Neto,33, GK,190,84,2,2,0,180,0,0,0,0,0.0,87.5,0.5,0,6.48
24,384711,Ronald Araújo,23, D(CR),188,79,2(4),2,4,236,0,0,0,1,0.2,93.7,1.0,0,6.41
25,73494,Martin Braithwaite,31," AM(CLR),FW",177,73,4(7),4,7,403,1,0,1,0,1.2,77.8,0.5,0,6.36
26,303268,Carles Aleñá,24, AM(CLR),180,73,2(2),2,2,171,0,0,0,0,0.3,92.8,0.3,0,6.32
27,373838,Álex Collado,23, AM(CR),177,66,0(1),0,1,5,0,0,0,0,0.0,90.0,1.0,0,6.1
