,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,92795,Layvin Kurzawa,30," D(L),M(L)",182,74,25(2),25,2,2205,0,4,1,0,1.2,77.5,1.9,6,7.54
1,115916,Fabinho,28," D(CR),DMC",188,78,35(1),35,1,3169,1,0,4,0,0.5,81.5,1.4,2,7.38
2,6778,Jérémy Toulalan,39," D(C),M(C)",183,86,28,28,0,2447,0,1,6,0,0.4,80.8,2.3,0,7.32
3,16161,João Moutinho,36, M(C),170,61,35(2),35,2,3165,4,6,6,0,1.3,83.4,1.0,3,7.27
4,91978,Geoffrey Kondogbia,29," D(C),DMC",188,80,22(1),22,1,1912,1,1,3,0,1.2,86.2,1.3,0,7.26
5,115472,Yannick Carrasco,29," M(CLR),FW",185,73,33(3),33,3,2813,6,10,6,0,2.1,78.2,0.4,4,7.25
6,136741,Bernardo Silva,28," M(CLR),FW",173,64,25(7),25,7,2287,9,3,1,0,1.1,84.7,0.5,3,7.23
7,135211,Tiemoué Bakayoko,28, DMC,185,77,10(2),10,2,835,0,0,3,1,0.3,82.7,3.0,2,7.22
8,262262,Almamy Touré,26," D(CR),M(R)",183,81,4(1),4,1,375,1,0,0,0,0.4,83.5,0.6,0,7.21
9,132669,Wallace,27, D(C),191,85,11(3),11,3,1013,0,0,1,1,0.4,81.9,1.9,0,7.05
10,6666,Ricardo Carvalho,44, D(C),183,79,23(2),23,2,1991,0,1,2,1,0.2,88.3,1.4,1,7.02
11,33663,Elderson Echiéjilé,34, D(L),184,76,10(2),10,2,889,1,0,1,0,0.6,79.6,1.8,1,6.99
12,83250,Aymen Abdennour,33, D(C),187,85,17(1),17,1,1529,0,0,2,1,0.1,84.5,2.4,0,6.99
13,17946,Andrea Raggi,38, D(CLR),187,82,27,27,0,2379,0,1,8,0,0.3,79.5,1.4,0,6.85
14,29214,Danijel Subasic,37, GK,191,84,37,37,0,3330,0,0,4,0,0.0,56.1,0.1,1,6.76
15,122366,Anthony Martial,26," AM(LR),FW",181,76,19(16),19,16,1828,9,3,1,0,1.5,71.6,1.2,0,6.73
16,2213,Dimitar Berbatov,41," AM(C),FW",188,79,18(8),18,8,1742,7,0,4,0,2.0,76.3,2.2,0,6.65
17,67180,Lacina Emeghara Traoré,32, FW,203,87,3(3),3,3,261,1,1,0,0,1.3,43.1,1.7,0,6.62
18,18701,Radamel Falcao,36, FW,177,72,1(2),1,2,128,2,0,0,0,1.3,89.4,0.7,0,6.59
19,120818,Nabil Dirar,36," D(LR),M(CR)",187,82,13(14),13,14,1275,2,2,3,1,0.4,78.0,0.8,1,6.55
20,101922,Matheus Carvalho,30, Forward,177,69,4(4),4,4,324,1,1,0,0,0.9,79.8,0.1,0,6.44
21,93917,Valère Germain,32," AM(CLR),FW",181,75,9(20),9,20,825,4,1,0,0,0.8,71.9,0.7,0,6.36
22,115587,Lucas Ocampos,28," M(CLR),FW",187,84,7(10),7,10,557,1,0,2,0,1.1,82.5,0.3,0,6.31
23,4065,Maarten Stekelenburg,39, GK,197,92,1,1,0,90,0,0,0,0,0.0,43.2,0.0,0,6.29
24,248112,Abdou Diallo,26, D(CL),187,79,1(4),1,4,85,0,0,0,0,0.0,92.3,0.4,0,6.23
25,243076,Aboubakar Kamara,27," AM(R),FW",177,81,0(2),0,2,12,0,0,0,0,0.5,66.7,0.5,0,6.02
26,21251,Alain Sibiri Traoré,33," M(C),FW",176,73,0(1),0,1,23,0,0,0,0,0.0,72.7,0.0,0,5.94
