,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,14176,Nuri Sahin,34, M(C),180,73,33,33,0.0,2904,4,7,5,0,1.4,76.5,0.5,3,7.51
1,20055,Lucas Barrios,37, FW,187,83,30(3),30,3.0,2623,19,4,6,0,3.0,69.3,1.3,6,7.45
2,21541,Mats Hummels,33, D(C),191,94,27(3),27,3.0,2522,5,1,4,0,1.1,75.1,1.5,3,7.35
3,21988,Jakub Blaszczykowski,36," D(R),M(CR)",175,71,30(2),30,2.0,2407,1,4,4,0,1.0,74.7,0.2,2,7.22
4,9014,Patrick Owomoyela,42, D(R),187,87,33,33,0.0,2936,1,3,1,0,0.9,71.6,1.5,0,7.21
5,1518,Mohamed Zidan,40," AM(C),FW",172,71,24(3),24,3.0,1783,6,6,0,0,1.8,81.2,0.3,1,7.19
6,25482,Neven Subotic,33, D(C),193,83,34,34,0.0,3060,3,0,2,0,0.9,75.7,1.1,1,7.12
7,842,Sebastian Kehl,42, M(C),187,87,5(1),5,1.0,382,1,0,1,0,0.2,78.1,0.7,0,7.11
8,31005,Kevin Großkreutz,34," D(LR),M(CLR)",186,78,21(11),21,11.0,2021,5,3,4,0,1.1,75.4,0.2,1,6.92
9,5626,Nelson Haedo Valdez,38," AM(R),FW",178,73,18(10),18,10.0,1704,5,2,6,0,2.0,69.7,1.1,2,6.92
10,22589,Sven Bender,33," D(C),M(C)",186,79,17(2),17,2.0,1491,0,1,3,0,0.8,77.5,0.5,0,6.89
11,43364,Marcel Schmelzer,34," D(CL),M(L)",180,74,24(4),24,4.0,2300,0,1,5,0,0.5,72.8,0.3,0,6.83
12,1430,Dedê,44, D(C),176,69,11(5),11,5.0,927,0,1,1,0,0.3,75.3,0.4,1,6.73
13,28839,Felipe Santana,36," D(C),DMC",194,88,13(12),13,12.0,1275,0,0,1,0,0.3,74.9,1.4,0,6.7
14,5490,Roman Weidenfeller,42, GK,190,90,30,30,0.0,2634,0,0,1,0,0.0,64.2,0.0,0,6.69
15,6401,Tamás Hajnal,41, M(C),167,67,10(11),10,11.0,1119,0,0,4,0,1.3,77.4,0.1,0,6.55
16,12475,Tinga,44, AM(C),170,62,7,7,0.0,546,0,0,0,0,0.4,75.5,0.1,0,6.53
17,74789,Damien Le Tallec,32," D(C),DMC",187,80,1(3),1,3.0,195,0,0,0,0,1.3,70.0,1.0,0,6.42
18,82699,Marco Stiepermann,31," D(L),M(CLR)",190,86,0(3),0,3.0,29,1,0,1,0,1.0,84.6,0.0,0,6.25
19,14601,Dimitar Dimitrov Rangelov,39, FW,183,80,1(9),1,9.0,213,1,0,1,0,0.6,72.3,0.0,0,6.24
20,5759,Markus Feulner,40," D(LR),M(CR)",183,82,1(8),1,8.0,143,0,0,0,0,0.2,73.8,0.0,0,6.18
21,77436,Julian Koch,31," D(R),DMC",184,79,0(2),0,2.0,17,0,0,0,0,0.0,86.7,0.0,0,6.18
22,5760,Marc Ziegler,46, Goalkeeper,193,92,4(1),4,1.0,428,0,0,0,0,0.0,51.8,0.0,0,6.1
23,80382,Mario Götze,30," M(CLR),FW",176,75,0(5),0,5.0,41,0,0,0,0,0.2,91.7,0.0,0,6.08
24,14179,Uwe Hünemeier,36, D(C),189,87,0(1),0,1.0,1,0,0,0,0,0.0,0.0,0.0,0,6.0
