,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,6099,Zvjezdan Misimovic,40," AM(C),FW",180,79,31,31,0.0,2768,10,13,7,0,2.4,77.5,0.2,8,7.74
1,24845,Edin Dzeko,36, FW,193,80,33(1),33,1.0,3003,22,7,4,0,4.5,70.7,0.7,6,7.73
2,11269,Christian Gentner,37, M(CLR),189,81,34,34,0.0,2795,4,7,3,0,1.7,78.6,0.2,0,7.22
3,16315,Josué,43, M(C),170,66,31,31,0.0,2703,1,0,10,0,0.1,85.5,0.2,1,7.15
4,15104,Grafite,43, FW,189,88,27(3),27,3.0,2466,11,3,5,0,2.2,65.2,0.7,1,7.08
5,10110,Ricardo Costa,41, D(C),183,80,10(1),10,1.0,901,1,0,2,0,0.9,77.8,2.3,1,7.05
6,5498,Sascha Riether,39, D(R),176,72,33,33,0.0,2965,1,6,3,0,0.3,82.5,0.3,0,6.94
7,10714,Diego Benaglio,39, GK,194,89,22,22,0.0,1924,0,0,1,1,0.0,62.1,0.0,2,6.94
8,36152,Marwin Hitz,35, GK,194,89,5,5,0.0,450,0,0,0,0,0.0,67.3,0.2,0,6.85
9,16954,Makoto Hasebe,38," D(CR),M(CR)",180,72,19(5),19,5.0,1592,1,5,6,0,0.5,81.1,0.2,0,6.79
10,5252,Obafemi Martins,37, FW,171,70,7(9),7,9.0,709,6,0,2,0,1.5,78.5,0.3,1,6.74
11,4550,André Lenz,48, GK,191,92,7(1),7,1.0,686,0,0,0,0,0.0,67.8,0.1,0,6.72
12,10154,Marcel Schäfer,38," D(L),M(L)",184,75,32,32,0.0,2731,0,4,1,0,0.6,81.2,0.2,0,6.71
13,6075,Andrea Barzagli,41, D(CR),187,87,24,24,0.0,2070,1,0,4,0,0.3,80.8,0.7,0,6.7
14,28800,Peter Pekarík,35," D(LR),M(R)",177,73,10(6),10,6.0,999,0,1,1,0,0.3,84.3,0.2,0,6.69
15,5630,Alexander Madlung,40, D(C),196,95,26(2),26,2.0,2393,1,0,3,0,0.6,78.2,1.2,0,6.65
16,21460,Karim Ziani,40, DMC,169,66,5(5),5,5.0,484,0,3,1,0,0.4,86.0,0.0,0,6.62
17,14173,Jonathan Santana,40, DMC,181,80,2(5),2,5.0,244,1,0,0,0,0.7,76.8,0.4,0,6.59
18,30577,Fabian Johnson,34," D(LR),M(CLR)",183,74,4(6),4,6.0,493,1,0,1,0,0.2,80.2,0.5,0,6.53
19,2796,Cristian Zaccardo,40, D(CR),184,77,0(1),0,1.0,3,0,0,0,0,0.0,100.0,0.0,0,6.48
20,10249,Ashkan Dejagah,36, M(LR),181,77,4(20),4,20.0,648,1,0,3,0,0.6,84.0,0.2,0,6.43
21,30153,Jan Simunek,35, D(L),187,79,4(1),4,1.0,297,0,0,1,0,0.0,76.7,1.0,0,6.42
22,758,Sebastian Schindzielorz,43, Midfielder,180,74,1(1),1,1.0,64,0,0,1,0,0.0,82.4,0.5,0,6.24
23,3667,Thomas Kahlenberg,39, M(C),183,72,3(9),3,9.0,246,0,0,1,0,0.3,83.7,0.2,0,6.13
24,5763,Daniel Baier,38, M(C),176,75,0(1),0,1.0,1,0,0,0,0,0.0,66.7,1.0,0,6.0
25,66696,Alexander Esswein,32," AM(CLR),FW",182,85,0(4),0,4.0,11,0,0,1,0,0.0,100.0,0.0,0,5.97
