,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,4173,Arjen Robben,38," M(CLR),FW",180,80,13(1),13,1,1134,12,8,3,1,3.9,80.3,0.1,6,8.39
1,9016,Franck Ribéry,39," AM(CL),FW",170,72,22(3),22,3,1972,7,11,5,0,2.8,79.5,0.1,4,7.82
2,6255,Mario Gomez,37, FW,189,89,27(5),27,5,2452,28,2,2,0,3.0,73.5,0.4,4,7.42
3,37099,Thomas Müller,33," M(CLR),FW",185,76,32(2),32,2,2801,12,11,2,0,1.8,76.4,0.6,1,7.37
4,4567,Bastian Schweinsteiger,38," D(C),M(C)",183,79,31(1),31,1,2734,4,7,6,0,1.6,84.9,0.5,0,7.3
5,43369,Luiz Gustavo,35," D(C),M(C)",187,78,13(1),13,1,1075,1,0,1,0,0.3,82.8,0.9,0,7.17
6,4801,Anatoliy Tymoshchuk,43, DMC,181,75,23(3),23,3,2000,3,0,3,0,0.7,86.5,0.6,1,7.07
7,5474,Hamit Altintop,39, M(CR),183,83,8(6),8,6,736,2,3,1,0,1.3,87.7,0.0,0,7.01
8,584,Mark van Bommel,45," D(C),DMC,M(R)",187,85,12(1),12,1,1091,0,0,2,0,1.2,87.0,0.1,0,6.97
9,5570,Philipp Lahm,38," D(R),DMC",170,66,34,34,0,3060,3,2,3,0,0.3,87.9,0.4,0,6.89
10,29943,Holger Badstuber,33, D(CL),189,83,21(2),21,2,1848,0,0,5,0,0.2,86.5,1.0,1,6.87
11,70097,Diego Contento,32," D(L),M(L)",177,74,12(2),12,2,1113,0,0,0,0,0.2,82.8,0.4,0,6.85
12,17746,Danijel Pranjic,40," D(L),M(C)",171,70,22(6),22,6,2005,0,6,2,0,0.3,82.1,0.1,2,6.83
13,2179,Daniel Van Buyten,44, D(C),197,96,18(3),18,3,1609,2,1,1,0,0.6,84.5,1.1,1,6.83
14,31772,Toni Kroos,32, M(C),183,76,19(8),19,8,1740,1,4,3,0,1.6,86.3,0.1,0,6.82
15,5840,Martín Demichelis,41, D(C),184,80,3(3),3,3,335,1,0,1,0,0.3,91.4,0.7,0,6.79
16,256,Jörg Butt,48, GK,191,91,22(1),22,1,2026,0,0,0,0,0.0,70.6,0.0,0,6.63
17,29247,Breno,32, D(C),191,85,7(6),7,6,746,0,0,0,1,0.1,84.0,0.9,0,6.62
18,35931,Thomas Kraft,34, GK,187,85,12,12,0,1036,0,0,0,0,0.0,73.0,0.0,0,6.56
19,6554,Andreas Ottl,37, M(C),186,78,9(6),9,6,924,0,1,0,0,0.5,84.1,0.1,0,6.55
20,374,Miroslav Klose,44, FW,184,84,9(11),9,11,896,1,1,2,0,1.2,75.5,0.5,0,6.46
21,18869,Edson Braafheid,39, D(L),176,76,2(1),2,1,142,0,0,0,0,0.0,71.2,0.0,0,6.43
22,39722,David Alaba,30," D(CL),M(CL)",180,78,0(2),0,2,27,0,0,0,0,0.0,90.9,0.0,0,6.27
23,3467,Ivica Olic,43," AM(LR),FW",182,85,3(3),3,3,282,0,0,1,0,1.5,77.6,0.2,0,6.15
