,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,5486,Alexander Meier,39," M(C),FW",196,96,19,19,0.0,1658,12,1,0,1,2.6,66.9,5.4,3,7.32
1,116466,Marc Stendera,26, M(C),173,72,24(2),24,2.0,2051,2,1,9,0,1.5,76.6,0.7,1,7.07
2,7421,Szabolcs Huszti,39, M(CLR),173,72,14(1),14,1.0,1184,1,2,5,0,1.3,75.6,1.8,1,7.02
3,67925,Bastian Oczipka,33," D(CL),M(L)",185,85,30,30,0.0,2700,0,0,7,0,0.3,78.4,1.2,0,6.9
4,13753,Marco Russ,37," D(C),DMC",190,88,26(2),26,2.0,2350,3,2,9,0,0.8,79.1,3.4,1,6.87
5,71862,Aleksandar Ignjovski,31," D(LR),M(CLR)",177,71,13(5),13,5.0,1221,0,2,3,0,0.5,66.1,1.6,0,6.77
6,23199,David Abraham,36, D(C),188,83,28(3),28,3.0,2548,0,0,8,0,0.4,80.5,3.5,1,6.76
7,33134,Carlos Zambrano,33, D(C),185,77,21(3),21,3.0,1793,0,0,8,1,0.2,84.5,2.1,0,6.75
8,64846,Lukás Hrádecky,32, GK,192,83,34,34,0.0,3060,0,0,0,0,0.0,58.1,0.4,1,6.73
9,16954,Makoto Hasebe,38," D(CR),M(CR)",180,72,31(1),31,1.0,2674,1,2,9,0,0.2,75.7,1.6,0,6.72
10,35433,Marco Fabián,33," AM(CR),FW",170,64,9(2),9,2.0,802,0,2,2,0,1.7,78.9,0.8,1,6.71
11,40942,Stefan Reinartz,33, M(C),189,87,14(1),14,1.0,1198,1,1,2,0,0.5,84.3,1.4,0,6.69
12,19956,Änis Ben-Hatira,34, M(CLR),183,82,7(2),7,2.0,608,1,1,2,0,1.3,69.0,0.8,0,6.69
13,74016,Haris Seferovic,30," AM(LR),FW",189,85,25(4),25,4.0,2211,3,5,10,0,2.0,65.4,3.4,1,6.68
14,14166,Stefan Aigner,35," AM(CLR),FW",183,73,27(4),27,4.0,2405,3,3,7,0,1.4,72.0,1.7,0,6.63
15,82646,Luc Castaignos,29, FW,188,85,12(7),12,7.0,942,4,1,1,0,0.9,69.9,1.2,2,6.57
16,20151,Constant Djakpa,35, D(L),177,74,8(4),8,4.0,752,0,0,2,0,0.3,67.4,0.4,1,6.46
17,243758,David Kinsombi,26," D(C),M(C)",183,74,1(1),1,1.0,91,0,0,0,0,0.0,60.0,0.0,0,6.36
18,297236,Yanni Regäsel,26, D(R),176,72,9(1),9,1.0,812,0,0,1,0,0.3,74.4,0.6,0,6.35
19,300318,Mijat Gacinovic,27, M(CLR),175,67,4(3),4,3.0,330,0,0,1,0,0.6,65.4,0.4,0,6.35
20,69467,Timothy Chandler,32," D(R),M(LR)",187,84,5(7),5,7.0,665,0,0,4,0,0.3,67.8,1.0,0,6.34
21,31839,Johannes Flum,34," D(C),M(C)",190,82,1(4),1,4.0,137,0,1,0,0,0.4,69.7,0.6,0,6.24
22,63012,Slobodan Medojevic,31, DMC,182,77,6(8),6,8.0,556,1,0,0,1,0.1,78.4,0.7,0,6.23
23,292096,Joel Gerezgiher,26, Midfielder,176,71,1(2),1,2.0,85,0,0,1,0,1.3,61.5,0.7,0,6.23
24,38820,Takashi Inui,34, AM(CLR),169,63,1,1,0.0,46,0,0,0,0,0.0,66.7,0.0,0,6.22
25,148484,Luca Waldschmidt,26," AM(CLR),FW",181,74,0(12),0,12.0,229,0,1,0,0,0.4,68.2,0.4,0,6.16
26,129171,Kaan Ayhan,27," D(CR),DMC",184,84,1(1),1,1.0,79,0,0,1,0,0.0,82.9,0.5,0,6.11
27,90966,Sonny Kittel,29," AM(CLR),FW",179,71,1(7),1,7.0,272,0,0,0,0,0.9,69.4,0.0,0,6.09
28,69477,Václav Kadlec,30," AM(R),FW",181,77,2(3),2,3.0,110,0,0,1,0,0.4,81.3,0.4,0,6.07
29,301109,Nico Rinderknecht,24, Midfielder,184,79,0(1),0,1.0,5,0,0,0,0,0.0,100.0,0.0,0,5.9
