,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,4384,Didier Drogba,44, FW,189,91,30(6),30,6,2793,11,13,6,0,4.2,61.8,2.1,7,7.55
1,1563,Florent Malouda,42, M(CL),184,73,33(5),33,5,2810,13,4,1,0,2.3,83.4,0.7,4,7.44
2,48,Frank Lampard,44, M(C),184,89,23(1),23,1,2026,10,2,2,0,3.2,82.2,0.1,2,7.37
3,10132,Alex,40, D(C),188,92,12(3),12,3,1111,2,0,3,0,0.7,90.1,2.1,2,7.34
4,70,John Terry,41, D(C),187,90,33,33,0,2962,3,1,6,0,0.8,87.6,2.9,2,7.31
5,1832,Michael Essien,39," D(R),DMC",183,78,32(1),32,1,2802,3,2,5,1,2.1,87.1,0.9,1,7.24
6,15338,Branislav Ivanovic,38, D(CR),185,80,32(2),32,2,2830,4,4,12,0,1.1,84.9,1.9,2,7.24
7,27586,David Luiz,35," D(C),DMC",189,84,11(1),11,1,954,2,0,3,0,0.8,83.9,1.3,2,7.17
8,527,Nicolas Anelka,43, FW,185,77,27(5),27,5,2364,6,4,0,0,2.3,81.8,0.7,1,7.1
9,15464,John Obi Mikel,35, M(C),188,83,28,28,0,2219,0,1,3,0,0.4,89.5,1.3,0,7.07
10,28191,Ramires,35, M(CR),180,73,22(7),22,7,1943,2,0,7,0,1.0,84.3,0.5,1,7.06
11,342,Ashley Cole,41," D(L),M(L)",176,66,38,38,0,3387,0,3,4,0,0.7,88.6,0.5,0,6.95
12,8028,Salomon Kalou,37," AM(CLR),FW",185,79,16(15),16,15,1563,10,3,1,0,2.1,84.1,0.4,0,6.86
13,6775,Petr Cech,40, GK,196,90,38,38,0,3420,0,1,0,0,0.0,52.8,0.2,1,6.85
14,22846,Ryan Bertrand,33," D(CL),M(L)",179,85,0(1),0,1,33,0,1,0,0,0.0,90.5,0.0,0,6.82
15,10685,José Bosingwa,40, D(CLR),183,75,13(7),13,7,1263,0,0,1,0,0.8,82.9,0.4,0,6.82
16,7252,Yuri Zhirkov,39," D(L),M(CL)",180,75,6(6),6,6,606,0,2,1,0,0.8,83.4,0.4,0,6.77
17,80881,Jeffrey Bruma,30, D(C),190,88,1(1),1,1,108,0,0,0,0,0.5,82.1,1.5,0,6.65
18,7010,Paulo Ferreira,43, D(R),181,76,12(9),12,9,1038,0,2,2,0,0.0,85.2,0.5,1,6.65
19,4056,Fernando Torres,38, FW,186,79,8(6),8,6,762,1,2,1,0,1.6,76.0,0.4,0,6.53
20,4490,Yossi Benayoun,42, M(R),178,70,1(6),1,6,203,1,0,0,0,0.6,83.0,0.1,0,6.45
21,92324,Josh McEachran,29, M(C),178,66,1(8),1,8,172,0,0,1,0,0.2,90.7,0.0,0,6.2
22,23736,Daniel Sturridge,33," M(R),FW",188,76,0(13),0,13,147,0,0,0,0,1.0,80.0,0.0,0,6.11
23,70291,Gaël Kakuta,31," M(CLR),FW",173,64,1(4),1,4,121,0,0,0,0,0.8,70.6,0.2,0,6.1
