,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,83532,Harry Kane,29," AM(C),FW",188,86,27(1),27,1,2427,17,4,5,0,3.6,73.1,1.8,6,7.38
1,104732,Paulo Gazzaniga,30, GK,196,90,3,3,0,270,0,0,0,0,0.0,64.2,0.0,0,7.14
2,83078,Kieran Trippier,32," D(LR),M(R)",178,71,26(1),26,1,2278,1,3,2,0,0.3,78.9,1.1,1,7.1
3,91909,Son Heung-Min,30," M(CLR),FW",183,78,23(8),23,8,2049,12,6,2,1,2.4,85.6,0.1,4,7.1
4,69344,Christian Eriksen,30," M(CLR),FW",182,76,30(5),30,5,2772,8,12,3,0,2.4,81.0,0.4,2,7.08
5,25604,Hugo Lloris,35, GK,188,82,33,33,0,2970,0,0,0,0,0.0,73.6,0.3,2,6.96
6,92508,Lucas Moura,30," AM(CLR),FW",172,72,25(7),25,7,2128,10,0,3,0,1.4,76.1,1.1,3,6.96
7,313672,Kyle Walker-Peters,25," D(LR),M(R)",173,62,4(2),4,2,374,0,3,1,0,0.3,83.0,0.5,0,6.95
8,131519,Dele Alli,26," M(CL),FW",188,76,22(3),22,3,1835,5,3,4,0,1.6,80.3,0.8,1,6.95
9,335107,Juan Foyth,24," D(CR),DMC",179,69,10(2),10,2,890,1,0,3,1,0.3,85.2,2.1,1,6.93
10,21778,Jan Vertonghen,35, D(CL),189,79,22,22,0,1915,1,0,3,1,0.7,87.5,2.3,1,6.89
11,83683,Serge Aurier,29," D(CLR),M(R)",176,76,6(2),6,2,564,0,2,1,0,0.5,75.5,1.5,0,6.85
12,19270,Michel Vorm,38, GK,183,84,2,2,0,180,0,0,0,0,0.0,77.3,0.5,1,6.85
13,24711,Danny Rose,32," D(L),M(L)",173,72,20(6),20,6,1798,0,3,5,0,0.6,73.7,1.0,1,6.84
14,69933,Toby Alderweireld,33, D(CR),186,81,33(1),33,1,2924,0,0,3,0,0.6,88.5,1.6,0,6.84
15,134887,Georges-Kévin Nkoudou,27, AM(LR),172,75,0(1),0,1,4,0,1,0,0,0.0,66.7,0.0,0,6.83
16,322655,Davinson Sánchez,26, D(C),187,81,22(1),22,1,1943,1,1,2,0,0.6,89.9,2.9,0,6.83
17,75830,Erik Lamela,30," AM(CLR),FW",181,79,9(10),9,10,973,4,2,2,0,1.5,83.2,0.2,1,6.77
18,29595,Moussa Sissoko,33, M(CR),187,83,27(2),27,2,2337,0,3,2,0,0.5,86.7,0.8,0,6.75
19,117973,Eric Dier,28," D(CR),DMC",188,88,18(2),18,2,1510,3,0,4,0,0.5,84.9,1.8,0,6.74
20,103837,Ben Davies,29," D(CL),M(L)",181,76,20(7),20,7,1839,0,0,2,0,0.5,82.8,1.7,1,6.69
21,143990,Harry Winks,26, DMC,178,65,17(9),17,9,1592,1,0,4,0,0.3,91.8,0.5,1,6.55
22,71714,Victor Wanyama,31, DMC,188,80,4(9),4,9,513,1,0,2,0,0.5,81.0,1.1,0,6.53
23,13361,Fernando Llorente,37, FW,193,90,6(14),6,14,685,1,4,2,0,1.2,66.4,2.7,0,6.49
24,364215,Oliver Skipp,22, DMC,175,70,2(6),2,6,216,0,0,0,0,0.3,83.9,1.3,0,6.38
25,12187,Mousa Dembélé,35, M(CR),185,87,7(3),7,3,516,0,0,1,0,0.1,89.6,0.6,0,6.38
26,133381,Vincent Janssen,28, FW,184,79,0(3),0,3,36,0,0,0,0,1.0,77.8,1.0,0,6.3
27,329492,Luke Amos,25, M(C),179,70,0(1),0,1,2,0,0,0,0,0.0,33.3,1.0,0,6.13
