,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,28186,Daniel Parejo,33, M(C),182,74,36,36,0.0,3195,5,7,12,0,1.4,86.5,0.8,2,7.16
1,19104,Nani,35," M(CLR),FW",178,66,22(3),22,3.0,1871,5,7,6,0,2.7,76.9,1.1,2,7.06
2,22117,Enzo Pérez,36, M(CR),178,77,26(1),26,1.0,2196,0,1,14,1,0.4,87.8,1.3,1,7.03
3,91387,Martín Montoya,31," D(LR),M(R)",175,73,26(3),26,3.0,2223,2,1,8,0,0.4,81.7,1.6,0,6.96
4,119817,José Gayà,27," D(L),M(L)",172,66,24(3),24,3.0,2090,1,2,4,0,0.5,77.9,0.4,1,6.96
5,128967,João Cancelo,28," D(LR),M(R)",182,74,27(8),27,8.0,2426,1,4,5,1,0.6,73.1,0.9,0,6.9
6,136810,Jaume Doménech,31, GK,185,73,3,3,0.0,270,0,0,0,0,0.0,67.1,0.0,0,6.86
7,68852,Eliaquim Mangala,31, D(C),188,84,30,30,0.0,2646,2,0,11,1,0.3,83.7,1.5,0,6.86
8,14079,Ezequiel Garay,35, D(C),189,90,27,27,0.0,2341,4,0,7,0,0.4,80.1,2.0,1,6.83
9,80921,Shkodran Mustafi,30, D(CR),184,82,0(1),0,1.0,45,0,0,0,0,1.0,73.5,1.0,0,6.79
10,312580,Toni Lato,24, D(L),171,64,4(4),4,4.0,481,0,1,2,0,0.0,80.7,0.5,0,6.78
11,125953,Aderllan Santos,33, D(C),193,83,11(1),11,1.0,1001,0,0,1,0,0.2,84.3,1.3,0,6.77
12,83459,Rodrigo,31," M(CLR),FW",182,77,17(2),17,2.0,1396,5,3,1,0,1.6,73.3,1.0,0,6.77
13,71647,Simone Zaza,31, FW,186,84,15(5),15,5.0,1376,6,1,7,0,3.0,69.3,2.5,0,6.72
14,143158,Munir El Haddadi,27," AM(LR),FW",175,69,22(11),22,11.0,2036,6,3,3,1,1.4,79.3,0.7,2,6.7
15,19177,Mario Suárez,35," D(C),M(C)",188,80,17(4),17,4.0,1499,3,0,3,0,0.5,79.9,1.2,2,6.69
16,313542,Carlos Soler,25, M(CLR),180,76,19(4),19,4.0,1725,3,1,4,1,1.2,86.1,0.4,1,6.66
17,95953,Paco Alcácer,29," AM(R),FW",175,72,1,1,0.0,90,0,0,0,0,2.0,76.2,0.0,0,6.6
18,125838,Santi Mina,26," AM(LR),FW",181,77,13(16),13,16.0,1404,6,2,2,0,1.1,75.2,1.0,2,6.58
19,30641,Diego Alves,37, GK,190,90,33,33,0.0,2970,0,0,4,0,0.0,53.2,0.1,2,6.55
20,25714,Fabián Orellana,36, AM(CLR),170,64,13(3),13,3.0,1145,1,1,3,1,0.9,83.6,0.4,1,6.52
21,83250,Aymen Abdennour,33, D(C),187,85,9(4),9,4.0,878,0,0,4,0,0.2,84.0,1.3,0,6.51
22,130356,Rúben Vezo,28, D(CR),182,80,1,1,0.0,46,0,1,0,0,0.0,96.0,1.0,0,6.5
23,142802,Álvaro Medrán Just,28, M(C),173,71,10(6),10,6.0,949,2,0,3,0,0.8,83.8,0.3,0,6.44
24,81523,Mathew Ryan,30, GK,184,82,2,2,0.0,180,0,0,0,0,0.0,77.0,0.0,0,6.39
25,20665,Guilherme Siqueira,36, D(L),182,81,7(3),7,3.0,544,0,1,2,0,0.0,79.0,0.2,0,6.32
26,135238,Fede Cartabia,29, AM(CLR),170,69,2(2),2,2.0,152,0,0,0,0,0.5,75.9,0.3,0,6.25
27,127137,Zakaria Bakkali,26, AM(LR),168,71,1(17),1,17.0,276,1,0,2,0,0.3,85.0,0.0,0,6.23
28,300779,Nacho Gil,27, AM(L),168,63,0(2),0,2.0,3,0,0,0,0,0.0,0.0,0.0,0,6.0
29,300369,Rafa Mir,25, FW,191,86,0(2),0,2.0,5,0,0,0,0,0.5,0.0,0.0,0,5.9
30,317597,Sito,25, Midfielder,180,70,0(1),0,1.0,1,0,0,0,0,0.0,100.0,0.0,0,5.88
