,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,89946,Wissam Ben Yedder,32," AM(C),FW",170,68,31(4),31,4,2821,18,9,4,0,2.2,73.9,1.1,3,7.23
1,94868,Pablo Sarabia,30," D(L),M(CLR),FW",174,70,30(3),30,3,2730,12,13,9,0,2.3,79.6,0.3,5,7.16
2,33724,Éver Banega,34, M(C),174,77,32,32,0,2681,3,4,15,2,1.0,85.4,0.3,2,7.08
3,299460,André Silva,26, FW,185,84,25(2),25,2,2164,9,0,4,0,2.3,72.7,2.5,2,6.93
4,9446,Jesús Navas,36," D(R),M(R)",172,60,31(1),31,1,2714,1,5,8,0,1.0,77.0,0.5,0,6.93
5,43824,Daniel Carriço,34," D(C),DMC",180,79,24,24,0,2132,1,1,10,0,0.4,79.7,2.5,1,6.88
6,20769,Simon Kjaer,33, D(C),190,86,25(1),25,1,2016,0,0,5,0,0.5,85.7,3.0,0,6.87
7,102439,Franco Vázquez,33," AM(CLR),FW",187,82,26(8),26,8,2290,3,4,8,1,1.3,79.3,2.0,0,6.87
8,143158,Munir El Haddadi,27," AM(LR),FW",175,69,12(4),12,4,1045,5,1,2,0,2.1,74.2,1.1,1,6.8
9,35689,Gabriel Mercado,35, D(CR),180,81,19(4),19,4,1738,2,1,10,0,0.5,82.0,2.0,0,6.72
10,298545,Joris Gnagnon,25, D(C),182,89,4(3),4,3,445,0,0,2,0,0.4,90.3,2.7,0,6.71
11,90778,Sergi Gómez,30, D(CR),185,80,31(1),31,1,2766,0,0,1,0,0.3,84.6,2.6,0,6.7
12,301024,Maximilian Wöber,24, D(CL),188,85,6(1),6,1,536,0,0,2,0,0.7,81.2,2.3,0,6.68
13,89856,Sergio Escudero,33," D(L),M(L)",176,65,18(3),18,3,1553,0,1,6,1,1.3,81.0,1.0,1,6.65
14,243554,Juan Soriano,25, GK,185,78,4,4,0,360,0,0,0,1,0.0,42.9,0.8,1,6.61
15,79560,Maxime Gonalons,33," D(C),M(C)",187,76,5(5),5,5,537,0,0,0,0,0.2,82.6,1.9,0,6.6
16,83333,Quincy Promes,30," M(CLR),FW",174,71,15(18),15,18,1571,2,3,2,0,0.9,78.9,0.6,1,6.59
17,68732,Tomás Vaclík,33, GK,188,85,33,33,0,2970,0,0,1,0,0.0,52.0,0.4,2,6.58
18,82630,Aleix Vidal,33," D(R),M(LR)",177,70,5(6),5,6,526,0,0,3,0,0.7,76.1,0.7,0,6.54
19,118885,Ibrahim Amadou,29," D(C),DMC",183,81,7(10),7,10,758,0,0,2,0,0.5,85.8,1.5,1,6.53
20,241822,Guilherme Arana,25," D(L),M(L)",176,66,8(1),8,1,633,0,0,3,0,0.7,84.5,0.3,0,6.52
21,203436,Marko Rog,27, M(C),180,73,4(6),4,6,355,0,0,5,0,0.2,86.4,1.1,0,6.48
22,108176,Roque Mesa,33, DMC,172,74,20(11),20,11,1747,2,2,9,1,0.9,87.4,0.4,0,6.48
23,368519,Bryan Gil,21, AM(CLR),175,60,0(11),0,11,159,1,1,0,0,0.4,72.3,0.0,0,6.38
24,84190,Luis Muriel,31," AM(CL),FW",179,79,1(5),1,5,120,1,1,0,0,0.7,76.6,1.5,0,6.26
25,372380,Javi Díaz,25, Goalkeeper,184,75,1,1,0,90,0,0,0,0,0.0,52.4,0.0,0,6.17
26,91267,Nolito,35, AM(CL),175,65,1(3),1,3,74,0,0,0,0,0.5,63.0,0.0,0,6.09
