,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,50835,Neymar,30," AM(CLR),FW",175,68,16(1),16,1,1444,15,7,2,0,3.2,81.1,0.5,7,8.26
1,300713,Kylian Mbappé,23," AM(LR),FW",178,73,24(5),24,5,2344,33,7,5,1,4.3,79.4,0.1,9,8.0
2,23110,Ángel Di María,34," M(CLR),FW",180,75,28(2),28,2,2339,12,11,2,0,3.2,78.8,0.0,2,7.52
3,24328,Edinson Cavani,35," AM(LR),FW",184,71,20(1),20,1,1676,18,5,1,0,2.5,76.3,0.2,2,7.44
4,116609,Adrien Rabiot,27," DMC,M(L)",188,71,12(2),12,2,1064,2,1,3,0,0.5,93.1,1.6,1,7.31
5,372926,Metehan Guclu,23, Forward,182,0,0(1),0,1,16,1,0,0,0,2.0,100.0,0.0,0,7.29
6,346744,Antoine Bernède,23, Midfielder,177,69,2,2,0,170,0,0,0,0,0.5,93.5,1.5,0,7.24
7,101949,Marquinhos,28," D(CR),DMC",183,75,30,30,0,2695,3,1,2,1,0.4,91.9,2.3,0,7.24
8,91961,Marco Verratti,29, M(C),165,60,23(3),23,3,1887,0,2,7,0,0.1,90.9,0.2,1,7.07
9,104376,Thomas Meunier,31," D(R),M(R)",191,90,19(3),19,3,1615,3,3,2,0,0.9,84.5,1.5,1,7.07
10,373555,Loïc Mbe Soh,21, D(C),186,0,2,2,0,180,0,0,0,0,0.5,91.3,3.5,0,7.07
11,28550,Thiago Silva,37, D(C),183,79,24(1),24,1,2079,0,1,4,0,0.5,94.2,2.0,0,7.06
12,5780,Dani Alves,39," D(R),M(CR)",172,70,19(4),19,4,1625,1,7,4,0,1.2,85.6,0.6,0,7.02
13,96449,Julian Draxler,29," AM(CLR),FW",185,72,22(9),22,9,2046,3,7,6,0,1.0,89.8,0.6,3,7.02
14,255167,Thilo Kehrer,25," D(CLR),M(R)",186,76,19(8),19,8,1896,1,2,4,0,0.5,92.7,1.9,1,6.98
15,93700,Leandro Paredes,28, DMC,180,75,14(2),14,2,1250,0,2,1,0,0.9,92.1,0.6,0,6.95
16,300945,Christopher Nkunku,24," M(CLR),FW",175,73,13(9),13,9,1155,3,2,0,0,1.0,91.0,0.5,2,6.88
17,3328,Gianluigi Buffon,44, GK,192,84,17,17,0,1530,0,0,0,0,0.0,90.0,0.1,1,6.88
18,106894,Juan Bernat,29," D(L),M(CL)",177,67,21(4),21,4,1838,1,2,6,1,0.2,90.8,0.6,0,6.84
19,92516,Alphonse Areola,29, GK,195,94,21,21,0,1890,0,0,1,0,0.0,83.2,0.1,0,6.8
20,349755,Stanley Nsoki,23, D(CL),184,77,8(4),8,4,699,0,0,2,0,0.0,86.9,1.3,0,6.77
21,18285,Lassana Diarra,37, M(C),173,73,2(1),2,1,161,0,0,0,0,0.0,89.7,0.3,0,6.72
22,247800,Presnel Kimpembe,27, D(C),183,77,23(1),23,1,2006,0,1,4,1,0.2,93.6,1.0,0,6.69
23,92795,Layvin Kurzawa,30," D(L),M(L)",182,74,11(8),11,8,1011,1,2,4,0,0.3,84.4,1.5,1,6.67
24,353397,Moussa Diaby,23," M(CLR),FW",170,68,10(15),10,15,1131,2,6,1,0,0.9,83.3,0.1,0,6.62
25,361283,Colin Dagba,24, D(R),170,62,9(8),9,8,914,0,2,2,0,0.2,93.0,0.1,0,6.5
26,353991,Timothy Weah,22," AM(LR),FW",185,66,1(1),1,1,54,1,0,1,0,1.0,57.1,0.5,0,6.5
27,29809,Eric Choupo-Moting,33," M(CLR),FW",191,90,8(14),8,14,794,3,0,0,0,1.1,82.2,0.6,0,6.42
28,303908,Giovani Lo Celso,26," M(CR),FW",177,68,0(1),0,1,10,0,0,0,0,0.0,100.0,0.0,0,6.38
29,302931,Kevin Rimane,31, Defender,181,0,0(1),0,1,4,0,0,0,0,0.0,100.0,0.0,0,6.14
