,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,3281,Zlatan Ibrahimovic,40, FW,195,95,32,32,0.0,2810,28,6,3,1,4.4,77.1,1.5,11,8.14
1,6166,Sulley Muntari,38, M(C),179,76,13,13,0.0,1100,3,1,6,0,2.4,79.9,1.2,2,7.52
2,28550,Thiago Silva,37, D(C),183,79,27,27,0.0,2296,2,0,2,0,0.7,91.0,1.6,3,7.46
3,10015,Djamel Mesbah,37," D(L),M(L)",179,75,7(1),7,1.0,675,0,0,1,0,0.6,88.5,0.9,0,7.34
4,711,Antonio Cassano,40," AM(CL),FW",175,80,11(5),11,5.0,1006,3,10,1,0,1.3,79.7,0.2,1,7.27
5,5689,Mario Yepes,46, D(C),186,83,10(1),10,1.0,917,1,0,3,0,0.4,89.4,2.0,0,7.23
6,2303,Philippe Mexes,40, D(C),187,82,13(1),13,1.0,1182,0,0,3,0,0.6,87.4,2.9,0,7.22
7,107275,Mattia De Sciglio,29," D(CLR),M(LR)",182,78,2(1),2,1.0,249,0,0,0,0,0.3,87.6,0.3,0,7.19
8,191,Massimo Ambrosini,45, M(C),182,72,17(5),17,5.0,1414,1,1,7,0,0.5,86.3,1.6,1,7.19
9,14247,Robinho,38," AM(CLR),FW",172,60,21(7),21,7.0,1775,6,9,1,0,2.0,84.1,0.1,1,7.17
10,23206,Ignazio Abate,35," D(R),M(R)",180,73,29,29,0.0,2598,0,2,4,0,0.4,83.2,1.1,0,7.17
11,584,Mark van Bommel,45," D(C),DMC,M(R)",187,85,22(3),22,3.0,2003,0,0,6,0,0.6,88.1,0.7,0,7.1
12,9989,Alberto Aquilani,38, M(C),185,81,14(9),14,9.0,1398,1,6,5,0,1.7,87.1,0.7,0,7.07
13,5869,Luca Antonini,40," D(CL),M(L)",182,70,17(3),17,3.0,1466,0,0,4,0,0.5,85.1,1.3,0,7.05
14,11867,Kevin-Prince Boateng,35," M(CLR),FW",187,85,15(4),15,4.0,1317,5,4,3,2,2.2,85.4,0.7,1,7.0
15,13852,Taye Ismaila Taiwo,37, D(CL),182,87,4,4,0.0,322,0,0,1,0,0.5,79.7,1.3,0,6.97
16,6321,Mathieu Flamini,38, M(C),178,67,0(2),0,2.0,97,1,0,0,0,1.0,91.5,1.0,0,6.96
17,19553,Antonio Nocerino,37, M(C),175,74,33(2),33,2.0,2965,10,1,6,0,1.4,83.7,0.1,2,6.93
18,6022,Marco Amelia,40, GK,190,90,7(2),7,2.0,730,0,0,0,0,0.0,72.2,0.0,0,6.92
19,500,Alessandro Nesta,46, D(C),186,80,16(1),16,1.0,1429,1,0,6,0,0.2,89.2,1.0,0,6.91
20,2247,Daniele Bonera,41, D(CR),183,84,17(3),17,3.0,1471,0,0,4,1,0.1,85.7,0.7,0,6.85
21,1690,Clarence Seedorf,46, M(C),177,80,14(4),14,4.0,1158,2,1,3,0,1.4,84.3,0.2,2,6.84
22,17491,Urby Emanuelson,36," D(L),M(CLR)",176,68,17(13),17,13.0,1664,2,5,1,0,1.2,83.7,0.2,1,6.82
23,160,Gianluca Zambrotta,45, D(CR),181,76,10(2),10,2.0,983,1,0,2,0,0.7,82.0,0.8,0,6.79
24,2533,Christian Abbiati,45, GK,191,92,31,31,0.0,2691,0,0,0,0,0.0,52.0,0.1,0,6.68
25,591,Gennaro Gattuso,44," D(C),M(C)",177,77,4(2),4,2.0,261,0,0,1,0,0.5,84.5,0.0,0,6.63
26,13554,Maximiliano López,38, FW,185,81,2(6),2,6.0,247,1,1,0,0,0.9,69.8,0.6,0,6.61
27,23158,Alexandre Pato,33," M(CLR),FW",175,72,7(4),7,4.0,538,1,0,1,0,1.8,73.3,0.1,0,6.56
28,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,6(16),6,16.0,785,2,2,1,0,1.3,80.2,0.1,0,6.51
29,158,Filippo Inzaghi,49, FW,181,74,0(7),0,7.0,62,1,0,0,0,0.3,60.0,0.1,0,6.18
30,70148,Rodney Strasser,32, M(C),178,80,0(1),0,1.0,2,0,0,0,0,0.0,75.0,0.0,0,6.03
31,83220,Alexander Merkel,30, M(CR),179,73,0(1),0,1.0,3,0,0,0,0,0.0,100.0,0.0,0,6.02
32,2645,Flavio Roma,48, Goalkeeper,191,86,1,1,0.0,1,0,0,1,0,0.0,0.0,0.0,0,6.0
